datetime,high,low,average
2013-12-03 16:20:11,1073.07,1060.65,1068.60
2013-12-03 17:19:22,1073.91,1066.62,1070.51
2013-12-03 18:18:36,1084.4,1070.21,1077.59
2013-12-03 19:17:49,1078.88,1072.47,1076.02
2013-12-03 20:17:55,1083.44,1073.23,1077.94
2013-12-03 21:17:48,1077.94,1065.16,1070.28
2013-12-03 22:17:56,1077.4,1068.84,1073.46
2013-12-03 23:17:58,1090.04,1072.04,1077.54
2013-12-04 00:17:09,1085.5,1070.16,1076.22
2013-12-04 01:17:03,1083.0,1071.7,1077.10
2013-12-04 02:16:19,1087.84,1075.78,1081.70
2013-12-04 03:15:28,1085.42,1073.0,1079.29
2013-12-04 04:14:46,1080.88,1072.1,1076.27
2013-12-04 05:14:49,1086.06,1072.32,1078.39
2013-12-04 06:14:54,1089.32,1082.68,1085.69
2013-12-04 07:13:59,1093.36,1084.92,1089.52
2013-12-04 08:13:18,1099.34,1087.12,1095.32
2013-12-04 09:13:25,1104.24,1094.94,1100.22
2013-12-04 10:13:28,1111.95,1102.87,1108.41
2013-12-04 11:12:45,1129.19,1111.23,1119.83
2013-12-04 12:12:26,1124.16,1108.73,1119.19
2013-12-04 13:12:05,1115.58,1106.5,1109.96
2013-12-04 14:11:16,1124.18,1114.73,1120.37
2013-12-04 15:10:53,1121.9,1114.88,1118.20
2013-12-04 16:10:21,1131.29,1114.19,1118.29
2013-12-04 17:10:12,1148.68,1122.17,1132.68
2013-12-04 18:09:19,1151.41,1142.75,1147.44
2013-12-04 19:09:26,1152.49,1142.91,1146.40
2013-12-04 20:09:23,1155.18,1142.59,1150.46
2013-12-04 21:08:30,1147.75,1140.42,1144.77
2013-12-04 22:08:23,1157.04,1144.3,1148.33
2013-12-04 23:07:39,1156.56,1147.77,1152.07
2013-12-05 00:07:42,1157.2,1141.84,1150.54
2013-12-05 01:06:51,1150.74,1111.94,1136.54
2013-12-05 02:06:10,1137.62,1121.07,1128.20
2013-12-05 03:05:24,1138.98,1130.06,1133.90
2013-12-05 04:05:24,1140.67,1132.26,1136.76
2013-12-05 05:04:37,1139.35,1128.46,1132.96
2013-12-05 06:04:42,1135.86,1127.25,1131.27
2013-12-05 07:04:00,1134.53,1128.24,1131.55
2013-12-05 08:04:02,1130.18,947.11,1050.02
2013-12-05 09:04:13,1049.22,902.8,989.05
2013-12-05 10:03:09,977.72,900.15,940.12
2013-12-05 11:02:18,965.72,907.58,935.75
2013-12-05 12:02:16,1026.44,956.52,984.52
2013-12-05 13:02:26,1039.05,1008.42,1020.29
2013-12-05 14:02:23,1034.82,994.93,1016.36
2013-12-05 15:01:22,1033.84,992.94,1008.74
2013-12-05 16:00:37,1021.26,990.71,1008.13
2013-12-05 17:00:41,1024.69,1008.88,1014.69
2013-12-05 18:00:41,1039.99,1024.24,1035.21
2013-12-05 18:59:54,1061.27,1033.87,1047.07
2013-12-05 19:59:54,1077.83,1053.75,1065.62
2013-12-05 20:59:58,1063.43,1044.36,1053.65
2013-12-05 21:59:12,1053.77,1028.36,1041.28
2013-12-05 22:58:15,1048.44,1036.62,1043.54
2013-12-05 23:58:19,1044.32,1012.47,1032.97
2013-12-06 00:58:29,1008.89,974.57,991.77
2013-12-06 01:58:29,1003.63,967.9,991.18
2013-12-06 02:57:31,1007.46,996.02,1002.24
2013-12-06 03:57:39,1010.11,985.27,999.13
2013-12-06 04:57:35,1003.3,986.04,998.38
2013-12-06 05:56:56,1007.86,996.01,1001.30
2013-12-06 06:56:54,1029.08,1001.22,1016.47
2013-12-06 07:56:10,1022.42,1009.07,1016.82
2013-12-06 08:55:18,1034.46,1016.62,1025.72
2013-12-06 09:54:25,1042.0,1031.02,1035.40
2013-12-06 10:53:25,1032.38,1015.29,1022.99
2013-12-06 11:52:42,1021.34,1012.27,1016.67
2013-12-06 12:51:38,1021.45,997.66,1015.16
2013-12-06 13:50:47,998.95,982.73,991.51
2013-12-06 14:50:55,993.32,950.33,983.88
2013-12-06 15:50:48,960.6,896.26,934.96
2013-12-06 16:50:05,945.52,911.85,926.16
2013-12-06 17:50:08,938.62,869.72,912.78
2013-12-06 18:50:12,880.52,838.9,860.91
2013-12-06 19:50:08,886.28,844.26,859.21
2013-12-06 20:49:23,897.6,874.68,887.36
2013-12-06 21:49:25,911.86,867.84,895.67
2013-12-06 22:48:29,883.85,842.74,865.91
2013-12-06 23:47:43,854.64,824.11,842.42
2013-12-07 00:46:44,850.4,771.36,814.62
2013-12-07 01:45:48,813.73,673.83,757.00
2013-12-07 02:45:11,809.78,732.61,767.43
2013-12-07 03:45:06,792.09,741.94,773.88
2013-12-07 04:45:05,784.3,732.97,757.66
2013-12-07 05:45:05,729.13,680.14,705.95
2013-12-07 06:03:06,716.46,669.64,694.91
2013-12-07 09:17:57,654.74,654.74,654.74
2013-12-07 10:17:11,726.09,637.62,679.50
2013-12-07 11:16:53,824.72,715.69,771.63
2013-12-07 12:16:46,793.55,743.36,763.79
2013-12-07 13:16:39,821.34,768.69,794.44
2013-12-07 14:15:50,801.34,755.71,779.23
2013-12-07 15:15:54,759.82,720.15,741.62
2013-12-07 16:15:07,726.38,667.75,704.29
2013-12-07 17:14:31,756.59,696.26,727.82
2013-12-07 18:14:41,744.56,723.93,735.83
2013-12-07 19:13:42,738.61,698.01,718.29
2013-12-07 20:13:42,749.91,714.33,734.56
2013-12-07 21:13:42,747.33,719.64,739.56
2013-12-07 22:12:59,738.66,693.31,722.50
2013-12-07 23:12:12,718.01,688.29,702.29
2013-12-08 00:11:34,708.98,687.87,701.23
2013-12-08 01:11:33,688.85,666.8,680.25
2013-12-08 02:10:48,689.26,671.71,680.38
2013-12-08 03:09:52,701.94,687.66,693.51
2013-12-08 04:09:00,709.27,680.57,694.13
2013-12-08 05:09:06,715.73,702.6,710.39
2013-12-08 06:09:13,738.17,708.04,722.62
2013-12-08 07:08:32,767.52,736.86,749.91
2013-12-08 08:08:29,781.81,746.5,762.66
2013-12-08 09:07:35,792.58,759.43,776.43
2013-12-08 10:07:03,786.82,763.52,775.06
2013-12-08 11:06:49,764.28,748.48,757.33
2013-12-08 12:06:58,747.79,707.33,729.70
2013-12-08 13:05:57,752.83,726.9,741.23
2013-12-08 14:05:55,743.49,724.01,733.76
2013-12-08 15:05:01,733.34,706.85,723.41
2013-12-08 16:04:05,732.95,711.74,723.40
2013-12-08 17:04:09,748.99,725.91,735.71
2013-12-08 18:03:23,735.93,721.45,728.12
2013-12-08 19:02:39,737.71,728.27,733.43
2013-12-08 20:01:48,749.97,739.08,745.56
2013-12-08 21:01:49,761.83,744.57,749.82
2013-12-08 22:01:56,802.51,764.79,782.91
2013-12-08 23:01:09,797.42,775.6,790.03
2013-12-09 00:01:09,795.74,779.5,788.06
2013-12-09 01:01:14,807.2,780.8,790.32
2013-12-09 02:00:18,829.57,809.17,820.32
2013-12-09 03:00:20,845.92,821.44,837.03
2013-12-09 03:59:35,842.45,811.61,824.09
2013-12-09 04:59:40,846.18,822.58,838.39
2013-12-09 05:59:02,882.66,843.09,863.93
2013-12-09 06:59:05,914.32,873.4,900.25
2013-12-09 07:58:58,914.71,867.07,891.25
2013-12-09 08:58:14,901.72,880.68,894.70
2013-12-09 09:57:18,897.57,877.66,890.73
2013-12-09 10:56:34,896.93,886.69,891.64
2013-12-09 11:55:49,894.99,881.76,889.36
2013-12-09 12:55:55,901.43,888.89,894.37
2013-12-09 13:55:57,902.32,867.59,890.99
2013-12-09 14:55:16,879.07,853.71,867.24
2013-12-09 15:54:33,894.75,872.39,882.42
2013-12-09 16:53:52,893.71,875.36,883.92
2013-12-09 17:53:56,879.34,868.27,873.70
2013-12-09 18:53:06,873.98,857.83,866.18
2013-12-09 19:53:05,873.35,857.03,864.65
2013-12-09 20:52:18,889.59,872.83,879.81
2013-12-09 21:52:19,887.62,879.5,883.49
2013-12-09 22:52:19,898.77,885.66,894.19
2013-12-09 23:51:35,935.32,892.33,916.56
2013-12-10 00:51:36,938.91,919.13,927.35
2013-12-10 01:51:38,944.46,928.67,934.91
2013-12-10 02:50:53,945.34,914.65,935.44
2013-12-10 03:50:06,924.82,900.63,913.71
2013-12-10 04:50:04,932.95,914.72,923.23
2013-12-10 05:49:22,930.65,915.2,922.54
2013-12-10 06:49:23,928.73,918.55,923.51
2013-12-10 07:49:24,933.23,924.08,929.95
2013-12-10 08:48:31,932.08,918.83,926.96
2013-12-10 09:48:34,923.1,915.52,918.43
2013-12-10 10:47:54,921.49,916.74,919.69
2013-12-10 11:47:58,924.42,911.08,919.66
2013-12-10 12:47:03,934.78,909.46,924.64
2013-12-10 13:47:06,934.64,927.78,931.01
2013-12-10 14:46:16,934.42,927.75,930.77
2013-12-10 15:45:36,935.91,928.6,932.48
2013-12-10 16:44:49,936.46,924.15,930.81
2013-12-10 17:44:54,964.42,936.27,943.71
2013-12-10 18:44:01,980.39,960.67,969.62
2013-12-10 19:43:16,1000.62,977.18,987.57
2013-12-10 20:42:35,991.55,978.82,984.75
2013-12-10 21:42:35,993.57,983.63,989.40
2013-12-10 22:42:39,993.97,977.53,983.18
2013-12-10 23:41:52,998.16,986.07,991.54
2013-12-11 00:41:10,1001.22,988.07,996.33
2013-12-11 01:41:13,992.77,973.15,985.60
2013-12-11 02:40:22,974.22,953.43,962.37
2013-12-11 03:40:25,973.28,949.98,960.57
2013-12-11 04:40:27,973.6,951.11,966.11
2013-12-11 05:40:29,973.92,948.75,957.16
2013-12-11 06:39:35,959.8,950.94,954.55
2013-12-11 07:39:44,973.95,953.4,957.30
2013-12-11 08:38:49,960.15,947.4,956.01
2013-12-11 09:38:03,950.31,883.65,918.54
2013-12-11 10:38:07,914.4,896.85,905.64
2013-12-11 11:38:09,884.68,828.88,868.13
2013-12-11 12:37:20,901.02,857.87,879.14
2013-12-11 13:37:28,935.95,876.01,897.51
2013-12-11 14:36:40,921.44,895.58,911.76
2013-12-11 15:36:41,908.97,879.73,896.63
2013-12-11 16:36:44,898.14,879.29,888.66
2013-12-11 17:36:44,895.18,875.82,887.41
2013-12-11 18:36:00,886.95,855.63,876.43
2013-12-11 19:35:17,867.38,843.19,856.74
2013-12-11 20:35:20,890.04,860.07,875.91
2013-12-11 21:35:21,882.71,867.56,875.92
2013-12-11 22:35:23,886.05,868.8,879.41
2013-12-11 23:35:27,892.34,876.33,883.60
2013-12-12 00:34:42,905.77,891.27,897.93
2013-12-12 01:34:01,900.53,886.61,894.96
2013-12-12 02:34:00,888.03,860.76,879.25
2013-12-12 03:33:12,868.29,852.13,861.47
2013-12-12 04:32:13,878.79,865.48,871.61
2013-12-12 05:31:32,876.39,865.36,870.50
2013-12-12 06:31:40,869.05,850.42,861.42
2013-12-12 07:30:51,879.66,861.91,871.33
2013-12-12 08:30:04,878.85,866.92,872.34
2013-12-12 09:30:02,877.7,861.67,870.82
2013-12-12 10:30:06,876.81,850.38,861.92
2013-12-12 11:30:08,863.42,855.06,860.44
2013-12-12 12:30:14,872.4,861.49,865.76
2013-12-12 13:29:10,884.79,866.15,873.83
2013-12-12 14:28:26,885.19,873.78,879.09
2013-12-12 15:28:27,880.13,852.13,870.82
2013-12-12 16:27:28,870.85,844.03,857.74
2013-12-12 17:26:32,869.02,848.38,854.70
2013-12-12 18:25:48,866.6,854.77,862.35
2013-12-12 19:25:48,872.35,862.26,866.86
2013-12-12 20:25:54,874.29,860.82,865.24
2013-12-12 21:25:52,871.61,863.19,867.86
2013-12-12 22:25:54,876.02,867.84,872.34
2013-12-12 23:25:10,877.37,864.58,873.04
2013-12-13 00:24:15,876.99,870.21,874.21
2013-12-13 01:24:18,899.79,870.27,884.47
2013-12-13 02:24:24,902.13,887.27,894.31
2013-12-13 03:23:42,917.35,900.94,909.99
2013-12-13 04:23:41,906.84,895.89,901.34
2013-12-13 05:23:42,908.11,900.24,904.47
2013-12-13 06:22:47,933.03,903.71,913.25
2013-12-13 07:22:50,920.01,904.21,911.56
2013-12-13 08:22:58,937.31,919.42,923.85
2013-12-13 09:22:52,942.32,922.39,930.75
2013-12-13 10:22:55,931.27,913.94,921.64
2013-12-13 11:22:11,918.88,889.81,906.43
2013-12-13 12:21:14,914.0,884.04,896.82
2013-12-13 13:20:27,901.42,875.55,885.90
2013-12-13 14:19:42,898.38,890.74,894.16
2013-12-13 15:19:43,899.29,875.32,890.46
2013-12-13 16:19:44,880.81,868.6,872.73
2013-12-13 17:18:45,881.07,868.93,874.96
2013-12-13 18:18:46,877.99,864.87,872.80
2013-12-13 19:18:02,872.25,859.22,864.85
2013-12-13 20:18:03,874.2,859.06,864.86
2013-12-13 21:17:20,882.29,867.82,873.94
2013-12-13 22:17:20,886.27,869.68,875.88
2013-12-13 23:17:20,899.85,883.27,889.99
2013-12-14 00:16:38,903.17,884.92,888.96
2013-12-14 01:16:41,890.51,882.38,886.29
2013-12-14 02:15:48,890.86,883.73,886.59
2013-12-14 03:15:45,906.18,882.7,891.33
2013-12-14 04:15:51,894.86,888.01,891.83
2013-12-14 05:15:56,896.98,890.47,893.86
2013-12-14 06:15:56,890.65,879.79,885.31
2013-12-14 07:15:03,902.76,880.62,885.76
2013-12-14 08:14:13,908.81,880.57,888.80
2013-12-14 09:13:26,892.03,867.48,879.05
2013-12-14 10:13:29,880.7,874.79,878.00
2013-12-14 11:12:34,882.88,872.9,877.78
2013-12-14 12:12:34,882.46,862.49,877.87
2013-12-14 13:12:39,885.45,858.36,868.92
2013-12-14 14:11:46,869.15,861.81,865.70
2013-12-14 15:11:59,877.43,860.08,870.13
2013-12-14 16:11:12,877.5,870.89,873.79
2013-12-14 17:10:14,881.89,871.98,877.28
2013-12-14 18:09:29,879.87,873.32,877.05
2013-12-14 19:08:38,877.79,872.57,875.47
2013-12-14 20:08:41,877.52,870.44,873.64
2013-12-14 21:08:41,879.57,871.95,876.54
2013-12-14 22:07:49,880.04,873.25,876.03
2013-12-14 23:07:47,880.01,871.45,874.91
2013-12-15 00:07:52,876.71,869.63,872.82
2013-12-15 01:07:55,873.84,866.59,870.09
2013-12-15 02:07:12,871.38,861.06,867.20
2013-12-15 03:06:18,864.75,846.66,858.03
2013-12-15 04:06:17,856.19,841.24,850.13
2013-12-15 05:05:32,846.57,823.36,831.78
2013-12-15 06:05:33,839.35,825.07,832.89
2013-12-15 07:04:47,847.5,838.56,843.46
2013-12-15 08:04:07,852.76,842.14,847.93
2013-12-15 09:03:11,845.96,832.92,837.91
2013-12-15 10:03:13,844.25,832.9,839.21
2013-12-15 11:02:27,846.24,831.5,841.79
2013-12-15 12:01:36,839.0,830.43,834.23
2013-12-15 13:00:49,836.08,828.39,833.70
2013-12-15 14:00:51,851.37,831.82,845.11
2013-12-15 15:00:53,864.25,851.07,856.36
2013-12-15 16:00:24,880.23,864.29,868.67
2013-12-15 17:00:23,871.66,859.25,867.12
2013-12-15 18:00:24,867.18,861.23,865.07
2013-12-15 19:00:28,880.16,865.12,873.68
2013-12-15 20:00:29,879.09,867.76,873.78
2013-12-15 20:59:41,874.41,867.88,872.27
2013-12-15 21:59:37,875.72,870.79,873.86
2013-12-15 22:59:37,886.16,871.81,881.19
2013-12-15 23:58:44,882.25,866.54,874.47
2013-12-16 00:57:58,875.18,870.06,873.15
2013-12-16 01:57:17,879.55,871.67,875.37
2013-12-16 02:56:38,878.13,868.76,873.33
2013-12-16 03:56:31,874.56,866.67,870.67
2013-12-16 04:56:39,875.44,859.16,865.29
2013-12-16 05:55:39,867.53,856.22,860.82
2013-12-16 06:55:38,865.86,855.88,861.39
2013-12-16 07:54:57,869.13,855.89,862.67
2013-12-16 08:54:00,861.41,835.42,848.67
2013-12-16 09:54:05,846.29,819.06,831.93
2013-12-16 10:54:12,842.57,823.06,834.50
2013-12-16 11:53:23,831.17,806.42,820.69
2013-12-16 12:53:19,814.52,766.56,795.40
2013-12-16 13:52:37,810.62,775.26,794.20
2013-12-16 14:51:50,801.72,780.29,793.60
2013-12-16 15:51:52,806.23,789.79,796.30
2013-12-16 16:51:10,791.69,747.87,773.60
2013-12-16 17:50:27,749.89,698.12,725.55
2013-12-16 18:49:23,749.51,668.25,712.62
2013-12-16 19:48:39,717.07,668.64,696.46
2013-12-16 20:47:50,762.22,705.19,728.47
2013-12-16 21:47:05,743.84,703.49,728.21
2013-12-16 22:47:05,718.55,677.31,696.45
2013-12-16 23:47:08,713.01,689.88,699.08
2013-12-17 00:46:30,703.36,665.45,687.57
2013-12-17 01:46:43,672.52,630.05,653.38
2013-12-17 02:45:50,686.17,632.9,653.17
2013-12-17 03:45:02,673.83,641.0,654.94
2013-12-17 04:45:05,673.4,653.3,664.78
2013-12-17 05:45:11,729.22,677.42,705.00
2013-12-17 06:45:09,754.83,717.04,735.88
2013-12-17 07:44:29,739.38,711.5,727.53
2013-12-17 08:44:25,728.34,702.46,715.38
2013-12-17 09:43:35,714.28,694.12,703.89
2013-12-17 10:43:37,722.22,705.74,711.61
2013-12-17 11:43:39,716.28,682.06,702.42
2013-12-17 12:43:42,688.91,667.61,676.03
2013-12-17 13:42:53,701.99,668.81,680.46
2013-12-17 14:41:56,704.65,683.19,693.89
2013-12-17 15:41:14,698.64,684.9,691.68
2013-12-17 16:40:24,717.37,694.23,704.52
2013-12-17 17:40:30,716.81,703.51,709.86
2013-12-17 18:40:32,718.54,706.31,711.93
2013-12-17 19:39:50,710.6,687.56,703.21
2013-12-17 20:39:52,689.63,673.23,682.99
2013-12-17 21:39:55,690.0,678.3,684.97
2013-12-17 22:39:56,688.26,677.8,683.34
2013-12-17 23:39:58,684.49,669.75,677.05
2013-12-18 00:39:19,668.97,647.08,654.92
2013-12-18 01:39:24,669.7,654.65,662.50
2013-12-18 02:38:39,668.44,647.14,652.91
2013-12-18 03:38:43,651.9,639.46,644.69
2013-12-18 04:38:43,655.64,610.38,633.32
2013-12-18 05:37:45,607.56,561.76,582.52
2013-12-18 06:37:01,602.95,535.12,567.89
2013-12-18 07:37:04,569.42,520.82,539.33
2013-12-18 08:37:14,551.86,482.33,519.98
2013-12-18 09:37:13,522.78,466.02,497.98
2013-12-18 10:36:31,481.1,419.24,446.10
2013-12-18 11:36:18,548.48,450.7,505.58
2013-12-18 12:36:23,524.48,485.84,507.81
2013-12-18 13:36:15,575.72,524.18,551.50
2013-12-18 14:36:14,563.71,538.81,551.55
2013-12-18 15:35:34,578.64,538.29,560.22
2013-12-18 16:35:41,599.04,564.84,580.01
2013-12-18 17:34:56,615.79,571.4,591.13
2013-12-18 18:34:59,584.67,535.92,561.98
2013-12-18 19:34:52,553.15,535.24,542.59
2013-12-18 20:34:07,562.4,540.58,552.62
2013-12-18 21:33:24,571.29,552.21,561.56
2013-12-18 22:32:36,568.76,523.41,539.27
2013-12-18 23:31:51,533.43,519.06,525.61
2013-12-19 00:31:54,528.12,508.34,517.92
2013-12-19 01:30:55,523.27,502.57,510.30
2013-12-19 02:30:11,551.54,517.21,534.47
2013-12-19 03:29:27,562.77,548.41,555.77
2013-12-19 04:28:25,560.35,542.71,549.62
2013-12-19 05:27:30,572.15,550.82,558.06
2013-12-19 06:27:39,593.8,570.29,578.63
2013-12-19 07:27:42,595.33,570.63,579.23
2013-12-19 08:26:56,609.17,578.91,591.03
2013-12-19 09:26:16,622.6,604.2,614.11
2013-12-19 10:26:28,660.67,616.66,641.01
2013-12-19 11:26:27,679.55,634.89,661.84
2013-12-19 12:26:28,680.01,639.43,656.02
2013-12-19 13:25:47,651.96,612.27,638.96
2013-12-19 14:25:06,683.37,652.93,669.94
2013-12-19 15:24:22,675.94,657.59,666.49
2013-12-19 16:24:26,678.0,656.19,666.39
2013-12-19 17:24:29,660.14,653.76,657.22
2013-12-19 18:23:34,660.24,646.04,655.68
2013-12-19 19:22:49,691.59,657.03,671.99
2013-12-19 20:22:54,689.09,669.47,676.63
2013-12-19 21:21:59,683.03,674.6,678.47
2013-12-19 22:21:55,707.23,679.23,688.51
2013-12-19 23:21:13,701.68,680.28,692.22
2013-12-20 00:21:11,680.38,652.43,665.89
2013-12-20 01:20:25,680.56,665.91,671.99
2013-12-20 02:19:38,692.24,669.34,679.10
2013-12-20 03:19:42,695.32,680.95,689.97
2013-12-20 04:18:59,708.53,690.81,698.72
2013-12-20 05:18:07,727.45,702.34,712.83
2013-12-20 06:18:03,721.05,696.05,712.62
2013-12-20 07:17:18,729.68,705.6,719.76
2013-12-20 08:17:23,723.77,691.91,707.28
2013-12-20 09:16:36,718.24,688.8,699.80
2013-12-20 10:16:43,708.86,678.54,695.25
2013-12-20 11:16:33,701.01,667.96,682.66
2013-12-20 12:15:43,712.93,686.77,697.58
2013-12-20 13:14:51,718.86,687.31,698.37
2013-12-20 14:14:51,710.12,691.16,696.95
2013-12-20 15:14:07,710.08,693.21,696.87
2013-12-20 16:13:27,715.05,694.77,700.73
2013-12-20 17:12:55,712.38,669.77,683.41
2013-12-20 18:12:54,678.93,647.73,658.38
2013-12-20 19:12:10,663.5,637.93,654.56
2013-12-20 20:12:13,631.43,607.93,622.87
2013-12-20 21:11:30,654.32,626.21,643.82
2013-12-20 22:11:27,648.97,621.16,634.62
2013-12-20 23:10:38,627.35,595.33,613.76
2013-12-21 00:09:57,638.68,618.62,628.10
2013-12-21 01:09:10,650.48,624.74,633.53
2013-12-21 02:09:13,655.45,644.4,651.50
2013-12-21 03:08:16,655.32,642.65,649.08
2013-12-21 04:08:22,647.95,629.28,641.82
2013-12-21 05:07:44,641.77,629.47,636.17
2013-12-21 06:07:41,637.02,619.21,629.02
2013-12-21 07:07:02,617.46,604.56,610.53
2013-12-21 08:07:02,629.3,610.92,623.47
2013-12-21 09:07:09,623.34,613.34,618.54
2013-12-21 10:06:20,621.79,607.35,616.53
2013-12-21 11:06:21,618.36,608.74,612.84
2013-12-21 12:05:34,613.65,596.38,605.21
2013-12-21 13:05:36,599.58,578.68,592.06
2013-12-21 14:04:49,608.49,586.03,595.86
2013-12-21 15:04:57,603.73,592.75,597.65
2013-12-21 16:04:14,611.69,586.14,600.67
2013-12-21 17:03:18,625.78,607.95,616.14
2013-12-21 18:03:21,627.43,612.06,619.22
2013-12-21 19:03:21,620.31,608.76,614.50
2013-12-21 20:03:27,608.53,594.5,601.19
2013-12-21 21:02:46,612.81,594.96,603.14
2013-12-21 22:02:51,608.59,599.99,604.12
2013-12-21 23:02:57,607.55,600.06,603.54
2013-12-22 00:02:53,603.98,597.01,600.46
2013-12-22 01:02:04,601.02,589.68,597.14
2013-12-22 02:01:17,600.49,587.02,592.80
2013-12-22 03:00:42,595.39,590.24,593.01
2013-12-22 04:00:43,600.93,589.68,595.40
2013-12-22 05:00:43,618.47,596.55,603.94
2013-12-22 05:59:50,617.18,611.31,613.95
2013-12-22 06:59:04,633.27,616.6,627.75
2013-12-22 07:59:12,667.27,633.41,649.81
2013-12-22 08:58:35,660.5,639.23,651.86
2013-12-22 09:58:36,668.01,644.95,658.06
2013-12-22 10:57:46,649.63,640.85,647.32
2013-12-22 11:57:50,650.47,641.99,646.30
2013-12-22 12:57:57,658.29,650.35,655.47
2013-12-22 13:57:54,661.4,655.25,658.81
2013-12-22 14:57:15,656.13,643.87,648.72
2013-12-22 15:57:16,643.89,629.19,635.94
2013-12-22 16:57:19,643.18,632.1,636.59
2013-12-22 17:57:27,642.5,629.66,634.89
2013-12-22 18:57:29,633.56,628.36,631.48
2013-12-22 19:56:41,634.84,620.53,630.12
2013-12-22 20:56:42,627.7,618.02,622.92
2013-12-22 21:55:42,626.86,622.13,624.64
2013-12-22 22:54:49,624.5,613.5,618.31
2013-12-22 23:54:54,628.92,608.2,617.79
2013-12-23 00:54:55,633.48,624.53,629.71
2013-12-23 01:54:05,646.47,629.84,639.69
2013-12-23 02:54:13,649.05,640.53,645.29
2013-12-23 03:53:32,646.76,637.83,643.34
2013-12-23 04:53:32,649.52,643.18,646.25
2013-12-23 05:52:38,648.19,635.17,639.76
2013-12-23 06:51:53,646.62,640.63,642.93
2013-12-23 07:51:52,646.82,640.68,643.97
2013-12-23 08:51:04,644.07,638.21,640.99
2013-12-23 09:51:09,642.64,632.98,639.44
2013-12-23 10:50:20,637.66,631.37,635.05
2013-12-23 11:50:20,637.86,628.96,632.95
2013-12-23 12:49:33,634.84,629.6,632.57
2013-12-23 13:48:44,644.92,632.61,638.65
2013-12-23 14:48:03,650.52,643.69,647.12
2013-12-23 15:48:14,646.71,639.08,642.71
2013-12-23 16:47:31,644.31,635.58,639.22
2013-12-23 17:46:45,649.08,643.06,646.14
2013-12-23 18:46:02,647.99,641.53,645.29
2013-12-23 19:46:04,648.11,644.36,646.10
2013-12-23 20:46:03,655.19,647.91,651.25
2013-12-23 21:45:27,659.56,652.6,656.11
2013-12-23 22:45:28,682.23,659.17,672.57
2013-12-23 23:44:44,684.39,671.41,678.38
2013-12-24 00:43:55,679.61,666.24,672.42
2013-12-24 01:43:02,673.82,665.43,668.56
2013-12-24 02:42:16,674.34,665.77,669.69
2013-12-24 03:42:22,673.13,668.54,670.37
2013-12-24 04:41:38,671.7,668.49,670.35
2013-12-24 05:41:39,671.42,665.25,667.62
2013-12-24 06:40:52,670.32,666.27,668.28
2013-12-24 07:40:55,673.88,668.37,671.16
2013-12-24 08:40:59,671.38,663.05,667.59
